#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"
54000	-739.5605968874777	271.7427930955313	1.48e+03	15.448088884353638
55000	-732.2423888677823	269.0857501249018	1.48e+03	15.738635778427124
56000	-735.4007207635045	270.7700110924845	1.48e+03	16.029179334640503
57000	-723.0800985357099	277.13141285974507	1.48e+03	16.319660425186157
58000	-746.066769195126	291.89257255213624	1.48e+03	16.609588861465454
59000	-732.009190986708	286.59963150277974	1.48e+03	16.897791385650635
60000	-725.8444814326422	276.2448472312266	1.48e+03	17.18790912628174
61000	-734.7615552645581	281.2476044402771	1.48e+03	17.47766923904419
62000	-769.2835710142102	316.55354767356437	1.48e+03	17.768670558929443
63000	-769.506727792556	308.1449699367676	1.48e+03	18.060161590576172
64000	-732.5072753417646	269.71815714156867	1.48e+03	18.35087251663208
65000	-762.4591801900481	302.8411393071562	1.48e+03	18.639439582824707
66000	-789.100622870233	318.9461284659441	1.48e+03	18.93253755569458
67000	-745.3093430655651	294.2165033453069	1.48e+03	19.22458505630493
68000	-754.9979999331027	313.58603314708563	1.48e+03	19.515904426574707
69000	-748.2162304577481	298.76669498736436	1.48e+03	19.805766582489014
70000	-736.7502745585366	284.46014501576065	1.48e+03	20.095728874206543
71000	-756.1910101705978	295.3018397894938	1.48e+03	20.385932445526123
72000	-737.0404535453813	265.2058028084809	1.48e+03	20.67673897743225
73000	-769.1394727980634	287.5741702577041	1.48e+03	20.966094493865967
74000	-718.6847616845266	253.27779842636954	1.48e+03	21.257074117660522
75000	-769.4858876512277	309.1875630369785	1.48e+03	21.54868793487549
76000	-742.9243377471915	298.126545980742	1.48e+03	21.840793132781982
77000	-773.6714314180513	306.7676880081794	1.48e+03	22.131853818893433
78000	-785.7643616034263	313.8964597766755	1.48e+03	22.42202591896057
79000	-755.3443554358246	286.0768158001845	1.48e+03	22.71654438972473
80000	-757.7688326396194	280.81539912683604	1.48e+03	23.01351809501648
81000	-745.1489990642871	273.3949035303754	1.48e+03	23.30567479133606
82000	-808.7167784397421	313.4949722404767	1.48e+03	23.595749616622925
83000	-791.9471771098728	287.9660645172253	1.48e+03	23.883683443069458
84000	-793.5809037784124	305.75390140042606	1.48e+03	24.174538612365723
85000	-780.2353288097974	264.22197035685576	1.48e+03	24.465672969818115
86000	-782.5647589900325	259.8852248498577	1.48e+03	24.756551265716553
87000	-757.3796247690796	247.0675583739132	1.48e+03	25.047683477401733
88000	-780.5540065859489	277.50205146629537	1.48e+03	25.337836265563965
89000	-792.5478715911256	300.8824612194505	1.48e+03	25.62836742401123
90000	-787.6060582061984	276.3939281470138	1.48e+03	25.920142650604248
91000	-754.7145832512094	248.69531825707458	1.48e+03	26.209389448165894
92000	-760.6966259485633	256.45658546935573	1.48e+03	26.498013973236084
93000	-777.8389822301151	263.8586047417108	1.48e+03	26.787505388259888
94000	-767.3827745424601	269.24581892515585	1.48e+03	27.075877904891968
95000	-759.3349744892348	262.29112858676666	1.48e+03	27.36417841911316
96000	-751.656834464254	259.4739175190856	1.48e+03	27.650851488113403
97000	-784.4053629428121	278.3448058869267	1.48e+03	27.93517756462097
98000	-729.0023872370107	241.13867970186504	1.48e+03	28.218692779541016
99000	-757.0162411694522	267.1291051423224	1.49e+03	28.5000422000885
100000	-713.8403880846853	244.35532837544673	1.49e+03	28.78185749053955
101000	-759.5822120473204	290.93128706148866	1.49e+03	29.072288036346436
102000	-748.7192470816618	292.93989315448624	1.49e+03	29.354324340820312
103000	-749.1007742578383	283.64182806460974	1.49e+03	29.6377534866333
104000	-728.1864107897106	267.02078254402545	1.49e+03	29.92107892036438
105000	-742.5616404079922	274.0595753397941	1.49e+03	30.210192918777466
106000	-781.2835787247689	302.9851970992572	1.49e+03	30.49919843673706
107000	-770.9695382843179	308.08383107731044	1.49e+03	30.790330410003662
108000	-697.0383715424773	261.27778337784775	1.49e+03	31.077605485916138
109000	-704.4409579495598	291.65246814487307	1.49e+03	31.367906093597412
110000	-722.702825829399	311.1363319918808	1.49e+03	31.657793283462524
111000	-725.9319664416532	303.6693991163055	1.49e+03	31.947738647460938
112000	-760.8560747494613	319.38108973555603	1.49e+03	32.23776364326477
113000	-760.3085931930751	319.8079433785704	1.49e+03	32.530837535858154
114000	-712.5029165622826	290.1036803339701	1.49e+03	32.82326531410217
115000	-709.0897577117441	283.61417482348725	1.49e+03	33.11460065841675
116000	-677.7464996285304	270.66852819745526	1.49e+03	33.40597200393677
117000	-762.1992583013247	346.54837869568917	1.49e+03	33.698806047439575
118000	-704.6247747872341	276.87586597440287	1.49e+03	33.99231219291687
119000	-743.2011314465998	304.1630124923942	1.49e+03	34.28283667564392
120000	-708.6304865125949	285.6480495106695	1.49e+03	34.57348012924194
121000	-746.2062448862335	308.47772723400556	1.49e+03	34.86706042289734
122000	-725.7141666275747	275.3560055556266	1.49e+03	35.15458703041077
123000	-722.3225756501729	262.88874884785116	1.49e+03	35.4399676322937
124000	-752.2213016434158	268.5709081407831	1.49e+03	35.729262590408325
125000	-763.4991342836638	277.061991137395	1.49e+03	36.0177321434021
126000	-766.3871618911858	288.7393980718128	1.49e+03	36.30683422088623
127000	-750.2043715321578	271.69770009842006	1.49e+03	36.59749960899353
128000	-763.4961737115633	274.90864750417967	1.49e+03	36.88981604576111
129000	-744.8687361628174	262.8127681143025	1.49e+03	37.17994165420532
130000	-718.4028858224212	230.7850849212988	1.49e+03	37.470548152923584
131000	-786.2491533543025	285.10576782852183	1.49e+03	37.758283615112305
132000	-784.0078981089375	268.4932685638343	1.49e+03	38.04773473739624
133000	-753.1888261503186	232.97376720600315	1.49e+03	38.33812189102173
